year,Hungary,Poland,Romania
1961,1.101,0.069,0.435
1962,-1.087,-1.977,-0.577
1963,2.654,1.926,1.763
1964,2.367,2.326,1.811
1965,-1.041,-1.227,0.15
1966,-0.556,0.66,-0.592
1967,1.044,1.027,0.316
1968,1.079,0.814,0.652
1969,-0.682,0.963,-1.63
1970,-0.297,0.223,-0.057
1971,0.022,0.124,-0.69
1972,0.917,1.718,1.295
1973,-0.457,0.149,-0.524
1974,-1.906,-2.365,-1.263
1975,-0.551,0.629,0.271
1976,0.895,0.586,-0.779
1977,0.073,-0.345,-0.187
1978,-1.695,-1.155,-0.988
1979,-0.338,-0.071,-0.012
1980,-1.909,-1.711,-0.989
1981,0.202,-0.07,0.547
1982,0.442,0.495,-0.213
1983,1.37,1.49,0.09
1984,-1.722,-2.585,-1.526
1985,-1.373,-1.482,-0.585
1986,-0.389,0.079,-0.389
1987,1.484,-0.451,2.331
1988,0.922,0.456,1.232
1989,-0.606,0.022,-0.512
1990,0.035,-0.316,0.621
1991,0.593,0.016,0.605
1992,0.995,2.519,0.347
1993,0.579,-1.175,0.606
1994,2.379,2.579,1.568
1995,1.404,1.825,1.922
1996,-0.016,-0.718,1.422
1997,-0.576,0.216,0.167
1998,0.744,0.284,1.487
1999,0.651,1.838,2.376
2000,1.307,-0.272,2.194
2001,-0.295,0.273,0.784
2002,2.683,2.047,2.479
2003,3.077,2.261,2.399
2004,0.21,-0.202,0.784
2005,0.321,1.219,0.275
2006,2.067,3.924,1.289
2007,3.744,1.796,4.452
2008,1.26,1.963,1.8
2009,1.399,0.514,2.403
2010,0.978,2.53,1.573
2011,0.832,1.036,1.776
2012,3.424,1.412,5.055
2013,1.816,1.788,1.763
2014,1.309,1.946,0.948
2015,2.903,1.682,2.939
2016,1.786,2.27,2.541
2017,3.005,1.412,2.666
2018,1.626,2.883,1.339
2019,3.236,4.055,2.705
2020,0.861,1.669,1.587
2021,4.299,4.161,2.812
2022,4.302,2.928,3.725
2023,2.379,2.635,2.509
2024,3.828,3.299,5.428
2025,3.582,2.083,4.35
2026,3.92,2.456,2.669
